field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,YES,,character varying,,255.0,,
rs_tube_id,,,,YES,,integer,,,,rs_tubes
paired_end,,,,YES,,boolean,,,,
prep_barcode,,,,YES,,character varying,,255.0,,
sequencer_lane,,,,YES,,character varying,,255.0,,
library_prep_method,,,,YES,,character varying,,255.0,,
library_rna_quantity_ng,,,,YES,,double precision,,,,
sequencing_instrument,,,,YES,,character varying,,255.0,,
target_read_depth_mm,,,,YES,,integer,,,,
actual_read_depth,,,,YES,,integer,,,,
actual_read_length_bp,,,,YES,,integer,,,,
comments,,,,YES,,text,,,,
notes,,,,YES,,text,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
failed,,,,YES,,boolean,,,FALSE,
fastq_file_line_count,,,,YES,,integer,,,,
