field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,YES,,character varying,,255.0,,
homology_plasmid_quantity,,,,YES,,integer,,,,
cn_number1,,,,YES,,integer,,,,
cn_number2,,,,YES,,integer,,,,
storage_directory,,,,YES,,character varying,,255.0,,
gene_id,,,,YES,,integer,,,,genes
gene_terminus_id,,,,YES,,integer,,,,gene_termini
donor_sequence1_id,,,,YES,,integer,,,,sequences
donor_sequence2_id,,,,YES,,integer,,,,sequences
plasmid_dna_sequence1_id,,,,YES,,integer,,,,well_known_files
plasmid_dna_sequence2_id,,,,YES,,integer,,,,well_known_files
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
