field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
priority,,,,YES,,character,,,,
priority_type,,,,YES,,character,,,,
entrez_id,,,,YES,,integer,,,,
gene_symbol,,,,YES,,character varying,,255.0,,
gene_name,,,,YES,,character varying,,255.0,,
riken_id,,,,YES,,character varying,,255.0,,
image_id,,,,YES,,integer,,,,
gb_acc_no,,,,YES,,character varying,,255.0,,
clone_insert_seq,,,,YES,,text,,,,
predicted_template_sequence,,,,YES,,text,,,,
forward_primer,,,,YES,,text,,,,
reverse_primer,,,,YES,,text,,,,
forward_primer_name,,,,YES,,text,,,,
reverse_primer_name,,,,YES,,text,,,,
predicted_template_sequence_length,,,,YES,,integer,,,,
clone_plate,,,,YES,,character varying,,255.0,,
clone_column,,,,YES,,integer,,,,
clone_row,,,,YES,,character varying,,255.0,,
template id,,,,YES,,integer,,,,
primer_desired_length,,,,YES,,integer,,,,
primers_ordered,,,,YES,,timestamp without time zone,,,,
primers_received,,,,YES,,timestamp without time zone,,,,
generic_primer_name,,,,YES,,character,,,,
forward_primer_well,,,,YES,,integer,,,,
forward_primer_plate,,,,YES,,character varying,,255.0,,
nested_primer_well,,,,YES,,integer,,,,
nested_primer_plate,,,,YES,,character varying,,255.0,,
predicted_template_sequence_length 2,,,,YES,,integer,,,,
pair_penalty,,,,YES,,double precision,,,,
forward_primer_gc_percent,,,,YES,,double precision,,,,
forward_primer_tm,,,,YES,,double precision,,,,
forward_primer_length,,,,YES,,integer,,,,
forward_primer_start,,,,YES,,character,,,,
reverse_primer_gc_percent,,,,YES,,double precision,,,,
reverse_primer_tm,,,,YES,,double precision,,,,
reverse_primer_length,,,,YES,,integer,,,,
reverse_primer_start,,,,YES,,character,,,,
transcript_version_id,,,,YES,,integer,,,,
batch_id,,,,YES,,integer,,,,
batch_comment,,,,YES,,character varying,,255.0,,
