field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
weight_g,,,,YES,,double precision,,,,
water_reward_total_ml,,,,YES,,double precision,,,,
notes,,,,YES,,text,,,,
donor_id,,,,YES,,integer,,,,donors
abdominal_mass,,,,YES,,boolean,,,,
abnormal_gait,,,,YES,,boolean,,,,
anal_discharge,,,,YES,,boolean,,,,
bright_alert_responsive,,,,YES,,boolean,,,,
cyanotic,,,,YES,,boolean,,,,
decreased_mobility,,,,YES,,boolean,,,,
dehydrated,,,,YES,,boolean,,,,
diarrhea,,,,YES,,boolean,,,,
distended_abdomen,,,,YES,,boolean,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
water_supplement_ml,,,,YES,,double precision,,,,
cataract,,,,YES,,boolean,,,,
decreased_activity,,,,YES,,boolean,,,,
dyspnea,,,,YES,,boolean,,,,
external_lesions,,,,YES,,boolean,,,,
exudate,,,,YES,,boolean,,,,
hunched,,,,YES,,boolean,,,,
hypothermia,,,,YES,,boolean,,,,
increased_respiration,,,,YES,,boolean,,,,
injection_site_irritation,,,,YES,,boolean,,,,
moribund,,,,YES,,boolean,,,,
nasal_discharge,,,,YES,,boolean,,,,
occular_discharge,,,,YES,,boolean,,,,
pale,,,,YES,,boolean,,,,
paralysis,,,,YES,,boolean,,,,
piloerect,,,,YES,,boolean,,,,
poor_grooming,,,,YES,,boolean,,,,
pressure_sore,,,,YES,,boolean,,,,
prostrate,,,,YES,,boolean,,,,
self_mutilation,,,,YES,,boolean,,,,
shivering_tremors,,,,YES,,boolean,,,,
visible_weight_loss,,,,YES,,boolean,,,,
scheduled_date,,,,YES,,timestamp without time zone,,,,
scheduled_procedure_id,,,,YES,,integer,,,,scheduled_procedures
user_id,,,,YES,,integer,,,,users
