field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,NO,,character varying,,255.0,,
organism_id,,,,NO,,integer,,,,organisms
created_at,,,,YES,,timestamp without time zone,,,,
updated_at,,,,YES,,timestamp without time zone,,,,
build,,,,YES,,character varying,,255.0,,
contents_description,,,,YES,,text,,,,
file_source_id,,,,YES,,integer,,,,file_sources
storage_directory,,,,YES,,character varying,,255.0,,
project_id,,,,YES,,integer,,,,projects
genomic_reference_update_id,,,,YES,,integer,,,,genomic_reference_updates
