field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,YES,,integer,,,,
name,,,,YES,,character varying,,16.0,,
alignment3d_id,,,,YES,,integer,,,,
created_at,,,,YES,,timestamp without time zone,,,,
updated_at,,,,YES,,timestamp without time zone,,,,
qc_date,,,,YES,,timestamp without time zone,,,,
failed,,,,YES,,boolean,,,,
project_code,,,,YES,,character varying,,255.0,,
expression,,,,YES,,boolean,,,,
race_or_strain,,,,YES,,character varying,,255.0,,
age,,,,YES,,character varying,,255.0,,
days,,,,YES,,real,,,,
isembryonic,,,,YES,,boolean,,,,
sex,,,,YES,,character varying,,255.0,,
organism,,,,YES,,character varying,,255.0,,
plane_of_section,,,,YES,,character varying,,255.0,,
medical_condition,,,,YES,,character varying,,255.0,,
run_group_type,,,,YES,,character varying,,255.0,,
run_group_id,,,,YES,,integer,,,,
specimen_id,,,,YES,,integer,,,,
donor_id,,,,YES,,integer,,,,
runplan_id,,,,YES,,integer,,,,
published_at,,,,YES,,date,,,,
is_experiment,,,,YES,,boolean,,,,
