field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,YES,,integer,,,,
probe_name,,,,YES,,character varying,,255.0,,
bioanalyzer_size,,,,YES,,integer,,,,
probe_source,,,,YES,,character varying,,255.0,,
probe_type,,,,YES,,character varying,,255.0,,
template_type,,,,YES,,character varying,,255.0,,
transcript_accession,,,,YES,,text,,,,
transcript_version_id,,,,YES,,integer,,,,
project,,,,YES,,character varying,,255.0,,
gene_symbol,,,,YES,,character varying,,255.0,,
entrez_id,,,,YES,,integer,,,,
organism,,,,YES,,character varying,,255.0,,
forward_primer_id,,,,YES,,integer,,,,
reverse_primer_id,,,,YES,,integer,,,,
clone_id,,,,YES,,integer,,,,
clone_well,,,,YES,,text,,,,
clone_source,,,,YES,,character varying,,255.0,,
template_id,,,,YES,,integer,,,,
predicted_sequence_id,,,,YES,,integer,,,,
selected_region_sequence_id,,,,YES,,integer,,,,
probe_created_at,,,,YES,,timestamp without time zone,,,,
probe_updated_at,,,,YES,,timestamp without time zone,,,,
