field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
bioanalyzer_size,,,,YES,,integer,,,,
pcr_date,,,,YES,,timestamp without time zone,,,,
pcr_product_name,,,,NO,,character varying,,255.0,,
volume,,,,YES,,double precision,,,,
concentration,,,,YES,,double precision,,,,
yield,,,,YES,,double precision,,,,
a260a280,,,,YES,,double precision,,,,
created_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
updated_at,,,,NO,,timestamp without time zone,,,('now'::text)::date,
cdna_id,,,,YES,,integer,,,,
base_q_passfail,,,,YES,,character varying,,255.0,,
redo_pcr,,,,YES,,character varying,,255.0,,
pcr_redone,,,,YES,,character varying,,255.0,,
pcr_reaction_type_id,,,,YES,,integer,,,,pcr_reaction_types
probe_template_id,,,,YES,,integer,,,,probe_templates
