field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
priority,,,,YES,,character,,,,
priority_type,,,,YES,,character,,,,
transcript_gi,,,,YES,,integer,,,,
refseq_acc_num,,,,YES,,text,,,,
entrez_gene_id,,,,YES,,integer,,,,
gene_symbol,,,,YES,,character varying,,,,
gene_name,,,,YES,,character varying,,255.0,,
predicted_template_sequence,,,,YES,,text,,,,
forward_primer,,,,YES,,text,,,,
reverse_primer,,,,YES,,text,,,,
nested_primer,,,,YES,,text,,,,
forward_primer_name,,,,YES,,text,,,,
reverse_primer_name,,,,YES,,text,,,,
nested_sp6_primer_name,,,,YES,,text,,,,
predicted_template_sequence_length,,,,YES,,integer,,,,
template_id,,,,YES,,integer,,,,
primer_desired_length,,,,YES,,integer,,,,
comment,,,,YES,,character,,1.0,,
primers_ordered,,,,YES,,timestamp without time zone,,,,
primers_received,,,,YES,,timestamp without time zone,,,,
predicted_template_sequence_length_2,,,,YES,,integer,,,,
pair_penalty,,,,YES,,double precision,,,,
forward_primer_gc_percent,,,,YES,,double precision,,,,
forward_primer_tm,,,,YES,,double precision,,,,
forward_primer_length,,,,YES,,integer,,,,
forward_primer_start_in_selected_region,,,,YES,,character,,,,
reverse_primer_gc_percent,,,,YES,,double precision,,,,
reverse_primer_tm,,,,YES,,double precision,,,,
reverse_primer_length,,,,YES,,integer,,,,
reverse_primer_start_in_selected_region,,,,YES,,character,,,,
nested_primer_gc_percent,,,,YES,,double precision,,,,
nested_primer_tm,,,,YES,,double precision,,,,
nested_primer_length,,,,YES,,integer,,,,
nestedprimerstartinselectedregion,,,,YES,,character,,,,
transcript_id,,,,YES,,integer,,,,
batch_id,,,,YES,,integer,,,,
batch_comment,,,,YES,,character varying,,255.0,,
