field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
name,,,,YES,,character varying,,255.0,,
cell_count,,,,YES,,double precision,,,,
talen_quantity_mcg,,,,YES,,double precision,,,,
donor_plasmid_quantity_mcg,,,,YES,,double precision,,,,
donor_single_stranded_oligo_nmol,,,,YES,,double precision,,,,
crispr_quantity_mcg,,,,YES,,double precision,,,,
helper_plasmid_quantity,,,,YES,,double precision,,,,
engineering_step_id,,,,YES,,integer,,,,engineering_steps
transfection_method_id,,,,YES,,integer,,,,transfection_methods
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
notes,,,,YES,,text,,,,
