field_name,field_name_aliases,data_model_entity,definition,nullable,permissible_values,data_type,data_example,character_maximum_length,column_default,foreign_key_table_id
id,,,,NO,,integer,,,nextval('lims_locally_unique_id_seq'::regclass),
requested_by_id,,,,YES,,integer,,,,
assigned_to_id,,,,YES,,integer,,,,
task_id,,,,YES,,integer,,,,
task_type,,,,YES,,character varying,,255.0,,
requested_date_range_start,,,,YES,,timestamp without time zone,,,,
requested_date_range_end,,,,YES,,timestamp without time zone,,,,
scheduled_date,,,,YES,,timestamp without time zone,,,,
lab_request_status,,,,YES,,character varying,,255.0,,
comments,,,,YES,,text,,,,
created_at,,,,NO,,timestamp without time zone,,,,
updated_at,,,,NO,,timestamp without time zone,,,,
task_flow_step_id,,,,YES,,integer,,,,
location_id,,,,YES,,integer,,,,
project_id,,,,YES,,integer,,,,
batch_name,,,,YES,,character varying,,255.0,,
department_id,,,,YES,,integer,,,,projects
methods_versions_map,,,,YES,,jsonb,,,'{}'::jsonb,
