Ontology ID,label,has curation status,alternative term,definition,definition source,example of usage,editor note,ontology term requester,term tracker item,logical type,parent class
ID,a rdfs:label,A has curation status,A alternative term,A definition,A definition source,A example of usage,A editor note,A term editor,A ontology term tracker item,CLASS_TYPE,C %
,FASTQ,,FASTQ format,A (text-based) format that is used for storing a biological sequence (typically a nucleotide sequence) and its corresponding quality scores. The sequence letter and quality score are encoded using a single ASCII character. ,https://en.wikipedia.org/wiki/FASTQ_format,,This file format was developed at Wellcome Trust Sanger institute to bundle a FASTA formatted sequence and its quality data. It is the standard for storing the output of high-throughput sequencing instruments. ,,,,
,BAM,,binary alignment map format,A format that is the compressed binary representation of a sequence alignment map format. ,https://en.wikipedia.org/wiki/Binary_Alignment_Map,,"BAM consists of the lossless, compressed binary representation of the sequence alignment map files. BAM is in compressed BGZF format.",,,,
,bigWig,,bigWig format,"A format that is for display of dense, continuous data that will be displayed as a graph. They are in an indexed binary format. ",https://software.broadinstitute.org/software/igv/bigwig | http://genome.ucsc.edu/goldenPath/help/bigWig.html,,"BigWig files are created initially from WIG type files, using withToBigWig. BigWig files can also be created from bedGraph files, using bedGraphToBigWig. The advantage of a bigWig file is that only the portion of the file needed to display a particular region are transferred. This makes bigWig faster than WIG for large datasets.",,,,
,TIFF,,tag image file format,A format that is for storing raster graphics images. ,https://en.wikipedia.org/wiki/TIFF,,"TIFF handles images and data within a single file by including the header tags (size, definition, image-data arrangement, applied image compression) that define the geometry of the image. A TIFF file can be a container that holds compressed images and can also include a vector-based clipping path (outlines, croppings, image frames). TIFF can use LZW compression. TIFF 6.0 specification consists of: introduction, baseline TIFF, TIFF extensions, and appendices. ",,,,
,SWC,,SWC file format | SWC neuron morphology format,"A format that is used to store neuron morphology data, to share information to digitally reconstruct neurons, and to predict functional attributes using simulation environments. ",https://doi.org/10.1371/journal.pone.0228091,,"SWC files are composed of header entries and data entries. The data line entires are ogranized by structure (e.g., soma, coordinates, radius, and connection). The resulting data structure is a tree-like set of nodes where each node has a set of 3D coordinates and a radius, and each tree (neuron) has a single root node deined at the soma. SWC files can be uploaded and shared using NeuroMorpho.org and then used to predict circuit function and output using simulation environments such as NEURON.",,,,
,NWB,,NWB format | NWB file format,A format that is designed to store a wide range of neurophysiology data. It is a HDF5 file that has data organized by including a dedicated location for storing all data that is acquired during an experiment as well as another location to store stimulus data that was presented. ,https://alleninstitute.github.io/AllenSDK/brain_observatory_nwb.html,,NWB data is usually stored in a time series where each time series has information to document the type of data that it stores. All HDF5 tools and libraries are able to read NWB files. ,,,,
,browser extensible data format,,BED | browser extensible data file format | BED format | BED file format,A format that is a text file used to store data regarding genomic regions as coordinates and associated annotations. ,https://en.wikipedia.org/wiki/BED_(file_format),,"The data in these file types are stored as columns that are separated by spaces or tabs. These files consist of a minimum of three columns (contain the names of chromosomes or scaffolds, the beginning, and the end coordinates of the sequences). The next columns, up to nine, contain annotations related to the sequences in the third column. The columns are separated by spaces or tabs. Each row must have the same number of columns. These files may contain a header. ",,,,
,bigBed,,bigBed file format | bigBed format,A format that is created from a BED file that stores annotation items that are simple or a linked collection of exons. They are in an indexed binary format. ,https://software.broadinstitute.org/software/igv/bigbed,,The advantage of a bigBed file is that only the portions of the files needed to display a particular region are transferred. ,,,,
,comma-separated values format,,csv | csv format | csv file format | comma-separated values file format,"A format that is a delimited text file that uses a comma to separate values. Each line of the file is a data record, and each record consists of one or more fields, separated by commas. ",https://en.wikipedia.org/wiki/Comma-separated_values,,The file type typically stores tabular data (numbers and text) in plain text. ,,,,
,MTX,,MTX format | MTX file format,"A format that is associated with a 3D scene format consisting of a ASCII text written using XML-style tags representing 3D object hierarchies, animation data, and global scene options. ",https://filext.com/file-extension/MTX,,These files are associated with gene-barcode matrix files created with Cell Ranger using the MatrixMarket Exchange format (MEX). ,,,,
,tab-separated values format,,tsv format | tsv file format | tsv | tab-separated values file format,"A format that is a text file format used to store data in a tabular structure, for example, a database table or spreadsheet data. It is also used as a means of exchanging information between databases. ",https://en.wikipedia.org/wiki/Tab-separated_values,,Each record in the table is one liine of the text file. Each field value of a record is separated from the next by a tab character. The format is a type of a general delimter-separated values format. ,,,,
,H5,,HDF5 | hierarchical data format 5,A format that contains multidimensional arrays of scientific data.,https://fileinfo.com/extension/h5,,"H5 files are a type of hierarchical data format (HDF) file. In addition to HDF5, there are HDF4 files. ",,,,
,Loom,,Loom file format,A format that is designed to hold large -omics datasets. The format is based on HDF5 in that it is an HDF5 file that contains specific groups containing the main matrix as well as row and column attributes.,https://linnarssonlab.org/loompy/format/index.html,,"The data in the large -omics datasets in Loom files takes the form of a large matrix of numbers, along with metadata for the rows and columns. ",,,,
,PLINK.bed,,.bed PLINK file,A format that is a binary text file format for PLINK that serves as input for analysis. This is the preferred file type for representing genotype calls for PLINK.,https://www.cog-genomics.org/plink/2.0/formats#bed,,These files must be accompanied by .bim and .fam files. These are distinct from UCSC Genome Browser's BED format. ,,,,
,bim,,.bim file | .bim format | PLINK extended MAP file,A format that is a variant informaiton file accompanying a .bed or biallelic .pgen binary genotype table. ,https://www.cog-genomics.org/plink/2.0/formats#bim,,"These are text files with no header line, and one line per variant with six fields: chromosome code, variant ID, position in centimorgans, base-pair coordinate, ALT allele code, and REF allele code. ",,,,
,fam,,.fam file | .fam format | PLINK sample information file,A format that is a sample information file accompanying a .bed or biallelic .pgen binary genotype table.,https://www.cog-genomics.org/plink/2.0/formats#fam,,"These are text files with no header line, and one line per sample with six fields: family ID, individual ID, individual ID of father, individual ID of mother, sex code, and phenotype value. ",,,,
,brain imaging data structure,,BIDS | brain imaging data structure file format | BIDS file format | BIDS format,[more of a specification -- is this a schema instead?],https://bids.neuroimaging.io,,This is closer to a schema -- closer to a directive entity.,,,,
,H5AD,,h5ad format | h5ad file format,A HDF5 file format that provides a scalable way of keeping track of data together with learned annotations. It is anndata's native file format.,https://anndata.readthedocs.io,,,,,,
,NGFF,,NGFF format | zarr file | Next-generation file format,"A format that is designed to hold information about multidimensional, multiscale images, high-content screening datasets and derived labeled images. They are able to be hosted natively in an object (or cloud) storage for direct access by a large number of users.",https://doi.org/10.1038/s41592-021-01326-w,,,,,,
,Nifti file,,Nifti format | nii file,A format that is designed for neuroimaging data that is similar to the Analyze for the storage of Functional Magnetic Resonance Imaging (fMRI) and other medical images.,https://docs.safe.com/fme/html/FME_Desktop_Documentation/FME_ReadersWriters/nifti/nifti.htm,,"The NIfTI format is adapted from Analyze™ 7.5, developed by Biomedical Imaging Resource (BIR) at Mayo Clinic. NIfTI and Analyze 7.5 are compatible – NIfTI simply adds additional fields. NIfTI images are registered in a local coordinate system. There is currently no support for spatial referencing information. Each NIfTI file contains metadata and a voxel in up to 7 dimensions and supports a variety of data types. Usually NIfTI files have a .nii or .nii.gz extension containing both the header and the data. For backwards compatibility with Analyze 7.5, NIfTI files can be split into a binary header (.hdr) and an image data (.img/.img.gz). NIfTI metadata provides additional information about the coordinate system and how to interpret the data of the image. This may include parameters such as an intent, a description, or fMRI-specific metadata. There are two variants of the NIfTI format: NIfTI-1 and NIfTI-2. NIfTI-2 improves the data types supported by NIfTI-1, as well as precision and voxel size; however, the two formats are not binary compatible. Currently only NIfTI-1 is supported by the NIfTI reader. ",,,,
,JSON,,JSON format | json file | JavaScript Object Notation | JavaScript Object Notation format,A format that is an open standard file format and data interchange format that uses human-readable text consisting of attribute-value pairs and arrays to store and transmit data.,http://purl.obolibrary.org/obo/NCIT_C184769,,,,,,
,JSON-LD,,JSON-LD format | JSON-LD file | JSON-LD file format |JavaScript Object Notation for Linked Data | JavaScript Object Notation for Linked Data file format,A format that is an open standard file format and data interchange format that uses human-readable text consisting of attribute-value pairs and arrays to store and transmit data in addition to a linked data (LD) element.,https://en.wikipedia.org/wiki/JSON-LD,,"JSON-LD is designed around a ""context"" to provide additional mappings from JSON to an RDF model. The context links object properties in a JSON document to entities in an ontology. In order to map the JSON-LD syntax to RDF, JSON-LD allows values to be coerced to a specified type or to be tagged with a language. A context can be embedded directly in a JSON-LD document or put into a separate file and referenced from different documents (from traditional JSON documents via an HTTP Link header).",,,,
